"AUC","Brier","model","EPV","P","rho","beta_pattern","sim"
0.807484886380192,0.183513038468968,"MLE",5,8,0.5,"strong",9
0.80918235397672,0.190120639234218,"MLE",5,8,0.5,"strong",10
0.712455053175734,0.231617086222003,"MLE",5,8,0.5,"noise",1
0.779771619967479,0.205432569465762,"MLE",5,8,0.5,"noise",2
0.804808838924726,0.183715891723724,"MLE",5,8,0.5,"noise",3
0.781059551561958,0.194689605275033,"MLE",5,8,0.5,"noise",4
0.792916891667565,0.186371113650532,"MLE",5,8,0.5,"noise",5
0.773654927867698,0.195567863001249,"MLE",5,8,0.5,"noise",6
0.789289741370926,0.205943227680191,"MLE",5,8,0.5,"noise",7
0.773281238399883,0.194344297402725,"MLE",5,8,0.5,"noise",8
0.811008790966941,0.181963507737435,"MLE",5,8,0.5,"noise",9
0.766155010339203,0.200884379855967,"MLE",5,8,0.5,"noise",10
0.725354558368708,0.232141627554012,"MLE",5,8,0.5,"halfnoise",1
0.668336506257937,0.234843785275849,"MLE",5,8,0.5,"halfnoise",2
0.651719268798236,0.257188252315685,"MLE",5,8,0.5,"halfnoise",3
0.645807645709006,0.24995884514616,"MLE",5,8,0.5,"halfnoise",4
0.725466285027243,0.212651663485634,"MLE",5,8,0.5,"halfnoise",5
0.684687188485395,0.246720250652011,"MLE",5,8,0.5,"halfnoise",6
0.677358406337681,0.226728922548287,"MLE",5,8,0.5,"halfnoise",7
0.638457653956709,0.260455142270528,"MLE",5,8,0.5,"halfnoise",8
0.695974406233939,0.223391476663722,"MLE",5,8,0.5,"halfnoise",9
0.721364261673127,0.224286415762262,"MLE",5,8,0.5,"halfnoise",10
0.829478951774619,0.175423932449039,"MLE",5,12,0,"equal",1
0.789107279130173,0.204443255888383,"MLE",5,12,0,"equal",2
0.814944747293524,0.186927290769269,"MLE",5,12,0,"equal",3
0.776874898073528,0.198748351782138,"MLE",5,12,0,"equal",4
0.82185348598623,0.176358009816505,"MLE",5,12,0,"equal",5
0.805075561208979,0.18789782634568,"MLE",5,12,0,"equal",6
0.807024473986085,0.183178188184947,"MLE",5,12,0,"equal",7
0.803263206368851,0.187766856254337,"MLE",5,12,0,"equal",8
0.794895898600378,0.191100033251704,"MLE",5,12,0,"equal",9
0.812356084453965,0.183279879079681,"MLE",5,12,0,"equal",10
0.74309197782251,0.218681378644805,"MLE",5,12,0,"strong",1
0.734009974923473,0.223717305730526,"MLE",5,12,0,"strong",2
0.744122977106793,0.212941213738162,"MLE",5,12,0,"strong",3
0.703017009377971,0.222725768146786,"MLE",5,12,0,"strong",4
0.669314920953373,0.242383611057802,"MLE",5,12,0,"strong",5
0.693628428710203,0.236036552134505,"MLE",5,12,0,"strong",6
0.736642348462048,0.21509145778002,"MLE",5,12,0,"strong",7
0.762509514947347,0.209406975963837,"MLE",5,12,0,"strong",8
0.729463702502425,0.231686204813507,"MLE",5,12,0,"strong",9
0.734327267295762,0.20850471431312,"MLE",5,12,0,"strong",10
0.715678611089811,0.220036857274759,"MLE",5,12,0,"noise",1
0.685541321539744,0.237446828760673,"MLE",5,12,0,"noise",2
0.717489594798338,0.218986423491709,"MLE",5,12,0,"noise",3
0.703698059248196,0.220295710945728,"MLE",5,12,0,"noise",4
0.706808655262266,0.224338754172495,"MLE",5,12,0,"noise",5
0.691811119010233,0.231937329142551,"MLE",5,12,0,"noise",6
0.665754020497176,0.251824775406434,"MLE",5,12,0,"noise",7
0.706056510492378,0.221141454257306,"MLE",5,12,0,"noise",8
0.717380404862291,0.220964859401659,"MLE",5,12,0,"noise",9
0.689819606566583,0.24413807284853,"MLE",5,12,0,"noise",10
