"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim","model"
0.144649204467036,0.117608717980939,0.227291280053385,5,4,0,"equal",1,"Ridge"
0.0612377545959216,0.0486854053737304,0.210520033920845,5,4,0,"equal",2,"Ridge"
0.142840307676402,0.11683025903451,0.22722556762163,5,4,0,"equal",3,"Ridge"
0.221598340659686,0.179699596584021,0.256086410450783,5,4,0,"equal",4,"Ridge"
0.18651485241034,0.152543258255044,0.240433224472937,5,4,0,"equal",5,"Ridge"
0.170050923843471,0.137493272364361,0.236087710989253,5,4,0,"equal",6,"Ridge"
0.226797782518436,0.18960478380363,0.255547894865746,5,4,0,"equal",7,"Ridge"
0.176962114416589,0.146844777777024,0.238349827764941,5,4,0,"equal",8,"Ridge"
0.130234599957595,0.106910044610579,0.223477506929268,5,4,0,"equal",9,"Ridge"
0.168298472545758,0.137742081980521,0.23033696055326,5,4,0,"equal",10,"Ridge"
0.116586173956029,0.099884945168256,0.217792447328836,5,4,0,"strong",1,"Ridge"
0.168519126101045,0.13819763242743,0.230885912402442,5,4,0,"strong",2,"Ridge"
0.15675172721191,0.133107603168653,0.228466368435936,5,4,0,"strong",3,"Ridge"
0.227769608362002,0.189749128915278,0.255399408267817,5,4,0,"strong",4,"Ridge"
0.0852619414570345,0.0736485797489882,0.211267314268129,5,4,0,"strong",5,"Ridge"
0.14180993400773,0.116060241818238,0.224606244069532,5,4,0,"strong",6,"Ridge"
0.0879368354978954,0.0684830890623198,0.212575834639359,5,4,0,"strong",7,"Ridge"
0.129522794657549,0.10294939996482,0.221480218343976,5,4,0,"strong",8,"Ridge"
0.135036254298338,0.108418722803988,0.221921333633109,5,4,0,"strong",9,"Ridge"
0.16601869460537,0.136640907246619,0.230517072433376,5,4,0,"strong",10,"Ridge"
0.0821517002951036,0.0670052283804113,0.241719549564181,5,4,0,"noise",1,"Ridge"
0.126861134263813,0.119280854383172,0.249598074207274,5,4,0,"noise",2,"Ridge"
0.140548467896628,0.11689644556186,0.255072781212013,5,4,0,"noise",3,"Ridge"
0.124881230152802,0.101188556840564,0.250487338711225,5,4,0,"noise",4,"Ridge"
0.0704141278850842,0.0655068331488819,0.240606574854647,5,4,0,"noise",5,"Ridge"
0.202138140418157,0.16426921453141,0.275068104014128,5,4,0,"noise",6,"Ridge"
0.14453071468152,0.117084573645182,0.255569628857152,5,4,0,"noise",7,"Ridge"
0.142768578382817,0.11826626431803,0.254665005467646,5,4,0,"noise",8,"Ridge"
0.13125752023769,0.106237240087511,0.25236,5,4,0,"noise",9,"Ridge"
0.0810465911228584,0.0657543878938699,0.241522852619801,5,4,0,"noise",10,"Ridge"
0.161116495498859,0.135489093852053,0.26485,5,4,0,"halfnoise",1,"Ridge"
0.075192460036793,0.0606683676657144,0.24319288183851,5,4,0,"halfnoise",2,"Ridge"
0.0757084869380643,0.0613353984357463,0.245390183396156,5,4,0,"halfnoise",3,"Ridge"
0.142683557624506,0.117511086092141,0.26046,5,4,0,"halfnoise",4,"Ridge"
0.122103618598575,0.101999025497841,0.254437413386519,5,4,0,"halfnoise",5,"Ridge"
0.052482746970302,0.042789054625288,0.242765227023202,5,4,0,"halfnoise",6,"Ridge"
0.18269732786693,0.15832458945886,0.275693680494025,5,4,0,"halfnoise",7,"Ridge"
0.104389229605111,0.0844238500929289,0.25091598348905,5,4,0,"halfnoise",8,"Ridge"
0.132138334853082,0.111990923655939,0.257085387086695,5,4,0,"halfnoise",9,"Ridge"
0.102893405670785,0.0831412914734605,0.25,5,4,0,"halfnoise",10,"Ridge"
0.0699681334733203,0.0585593613293889,0.177194357391932,5,4,0.5,"equal",1,"Ridge"
0.153293663047825,0.120873339368304,0.193294485207964,5,4,0.5,"equal",2,"Ridge"
0.0718517040034365,0.0561172324551927,0.174283763456712,5,4,0.5,"equal",3,"Ridge"
0.092679643278426,0.0781963508138677,0.183312424937438,5,4,0.5,"equal",4,"Ridge"
0.0936282726566804,0.0764126710007326,0.181551446244648,5,4,0.5,"equal",5,"Ridge"
0.0826608988522196,0.0744148809788565,0.178530658603262,5,4,0.5,"equal",6,"Ridge"
0.120141173127973,0.101320216378937,0.18712500553798,5,4,0.5,"equal",7,"Ridge"
0.0836996010502737,0.0714323537084136,0.177416871693384,5,4,0.5,"equal",8,"Ridge"
0.117826108912355,0.101102326481533,0.18540628420002,5,4,0.5,"equal",9,"Ridge"
0.0511995184348401,0.0448361149248754,0.173748272219898,5,4,0.5,"equal",10,"Ridge"
0.109704140131817,0.0863118957231695,0.197676201191258,5,4,0.5,"strong",1,"Ridge"
0.120659969824141,0.0978872057309962,0.19866559337531,5,4,0.5,"strong",2,"Ridge"
0.190679808707537,0.147751606422253,0.22185250423168,5,4,0.5,"strong",3,"Ridge"
0.13472417845115,0.107433561854835,0.20601632997842,5,4,0.5,"strong",4,"Ridge"
0.14194309350959,0.113242021410504,0.206741090501171,5,4,0.5,"strong",5,"Ridge"
0.204402887120109,0.168530559800102,0.228628273134545,5,4,0.5,"strong",6,"Ridge"
0.210367534403965,0.173951019022677,0.22745920883829,5,4,0.5,"strong",7,"Ridge"
0.0718622139112762,0.0576459942030623,0.189290291679024,5,4,0.5,"strong",8,"Ridge"
0.103833375235292,0.0849633761717398,0.196851438617553,5,4,0.5,"strong",9,"Ridge"
0.113709782996207,0.0977528730745939,0.197161161540558,5,4,0.5,"strong",10,"Ridge"
0.11066994345698,0.0919785591496581,0.235680903532691,5,4,0.5,"noise",1,"Ridge"
0.12095122157836,0.1004163461165,0.236968417674688,5,4,0.5,"noise",2,"Ridge"
0.140177756252682,0.117786384403899,0.241029822313855,5,4,0.5,"noise",3,"Ridge"
0.113696867049818,0.0946805257855229,0.236998086731367,5,4,0.5,"noise",4,"Ridge"
0.15965689539274,0.133811907690585,0.247073036363416,5,4,0.5,"noise",5,"Ridge"
0.112463419232035,0.0935859702765268,0.235991282942118,5,4,0.5,"noise",6,"Ridge"
0.0579575470314112,0.0467048042724018,0.225557326377899,5,4,0.5,"noise",7,"Ridge"
0.108111572394284,0.0898811385314031,0.234425160156044,5,4,0.5,"noise",8,"Ridge"
0.114992487327306,0.0985143045008682,0.235992528786794,5,4,0.5,"noise",9,"Ridge"
0.0294097167783979,0.0242145247347833,0.225786911268805,5,4,0.5,"noise",10,"Ridge"
0.129640702910252,0.104954216087711,0.252278422797174,5,4,0.5,"halfnoise",1,"Ridge"
0.0798179416680233,0.0642174335645111,0.241736161964861,5,4,0.5,"halfnoise",2,"Ridge"
0.123127739493388,0.0998529498614016,0.250489532272613,5,4,0.5,"halfnoise",3,"Ridge"
0.143958861702558,0.11675859972416,0.255115,5,4,0.5,"halfnoise",4,"Ridge"
0.156591696146314,0.127811910093097,0.25882,5,4,0.5,"halfnoise",5,"Ridge"
0.226292096685934,0.189214323100286,0.284966035467769,5,4,0.5,"halfnoise",6,"Ridge"
0.0812928361023196,0.0664559688374261,0.241882023664067,5,4,0.5,"halfnoise",7,"Ridge"
0.197376123824497,0.169723495814586,0.273730015554933,5,4,0.5,"halfnoise",8,"Ridge"
0.191839917284645,0.176845545120651,0.269596505767832,5,4,0.5,"halfnoise",9,"Ridge"
0.158064588926037,0.129067624433155,0.25904,5,4,0.5,"halfnoise",10,"Ridge"
0.105410600494713,0.0811649421972613,0.191591936279456,5,8,0,"equal",1,"Ridge"
0.179893305092707,0.14735695843542,0.214208496219727,5,8,0,"equal",2,"Ridge"
0.168204624987773,0.138491317967447,0.211363162934314,5,8,0,"equal",3,"Ridge"
0.135344484724029,0.103012899794824,0.203233893324226,5,8,0,"equal",4,"Ridge"
0.156802107493194,0.130707452959389,0.206754384728686,5,8,0,"equal",5,"Ridge"
0.152552704214577,0.128792993678766,0.207290087586686,5,8,0,"equal",6,"Ridge"
0.117574118271241,0.0926987075574044,0.193819795544078,5,8,0,"equal",7,"Ridge"
0.176052297169918,0.134039956834681,0.217311330104036,5,8,0,"equal",8,"Ridge"
0.104440457478853,0.0797290672932631,0.19374103216001,5,8,0,"equal",9,"Ridge"
0.147607302225812,0.112515118004375,0.207552233173285,5,8,0,"equal",10,"Ridge"
