"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim","model"
0.204616936348019,0.175327864636646,0.24826289091958,5,4,0,"equal",1,"MLE"
0.199863242947867,0.158693276339121,0.243219439505402,5,4,0,"equal",2,"MLE"
0.100881998856927,0.087451732719688,0.218022581915009,5,4,0,"equal",3,"MLE"
0.226719549920209,0.187189569578892,0.257328595334702,5,4,0,"equal",4,"MLE"
0.109156935121071,0.0871090908850038,0.217879312024838,5,4,0,"equal",5,"MLE"
0.231048844555291,0.194825130145951,0.258659496239505,5,4,0,"equal",6,"MLE"
0.165485062314668,0.136688449001638,0.237626308146185,5,4,0,"equal",7,"MLE"
0.123476205040749,0.0992778889190884,0.221662210962036,5,4,0,"equal",8,"MLE"
0.155410605466128,0.123721059382047,0.230236900619336,5,4,0,"equal",9,"MLE"
0.196195824823725,0.164863153912574,0.241727136955899,5,4,0,"equal",10,"MLE"
0.191221798108185,0.167165967349434,0.237862872658839,5,4,0,"strong",1,"MLE"
0.0746341467931806,0.0580561863812889,0.21142531311669,5,4,0,"strong",2,"MLE"
0.07956515322291,0.0639344079531469,0.211285562919458,5,4,0,"strong",3,"MLE"
0.200771042346904,0.164205990576272,0.242329362676899,5,4,0,"strong",4,"MLE"
0.27659296490793,0.22822778473434,0.280556009427445,5,4,0,"strong",5,"MLE"
0.168268350477332,0.134422657610594,0.230494940466201,5,4,0,"strong",6,"MLE"
0.115704536501078,0.0939801934851826,0.217858294204976,5,4,0,"strong",7,"MLE"
0.118768683129589,0.0954922643792831,0.217005802411728,5,4,0,"strong",8,"MLE"
0.242914382388437,0.19612404350556,0.258583072532839,5,4,0,"strong",9,"MLE"
0.102022631773819,0.0821555203919482,0.211751844951087,5,4,0,"strong",10,"MLE"
0.246462594249825,0.213241631714598,0.298496361043201,5,4,0,"noise",1,"MLE"
0.12798608390457,0.105915724127404,0.251262179082257,5,4,0,"noise",2,"MLE"
0.12822078881812,0.10717291805021,0.252254954444469,5,4,0,"noise",3,"MLE"
0.188235779427622,0.155763798584115,0.273326641836795,5,4,0,"noise",4,"MLE"
0.157271181413519,0.137015186262894,0.259193742575914,5,4,0,"noise",5,"MLE"
0.158287443382221,0.131098525045544,0.260927741994584,5,4,0,"noise",6,"MLE"
0.196121846673353,0.181711727455405,0.274236057202911,5,4,0,"noise",7,"MLE"
0.191603221547218,0.161256288828625,0.27042385443823,5,4,0,"noise",8,"MLE"
0.131486190421465,0.110987357239121,0.254730718382619,5,4,0,"noise",9,"MLE"
0.209890528908221,0.175536789975284,0.280445124741383,5,4,0,"noise",10,"MLE"
0.133436787068236,0.11212828465566,0.258064803204085,5,4,0,"halfnoise",1,"MLE"
0.210958421524206,0.178399219143463,0.283548537667115,5,4,0,"halfnoise",2,"MLE"
0.195280647802666,0.162887646029843,0.277141967559425,5,4,0,"halfnoise",3,"MLE"
0.183056008464352,0.170046692418153,0.270214202208555,5,4,0,"halfnoise",4,"MLE"
0.258557808633698,0.218212740377813,0.304694705603596,5,4,0,"halfnoise",5,"MLE"
0.188577761547539,0.160699060621505,0.274946294108426,5,4,0,"halfnoise",6,"MLE"
0.210229028290975,0.185448502406373,0.286639391183204,5,4,0,"halfnoise",7,"MLE"
0.176719197272411,0.142412901040258,0.270916736931411,5,4,0,"halfnoise",8,"MLE"
0.120655943569856,0.0981123421783304,0.252129138462772,5,4,0,"halfnoise",9,"MLE"
0.210170559825556,0.179917672531985,0.284771206244987,5,4,0,"halfnoise",10,"MLE"
0.0883960835628311,0.07586265615401,0.182437629653799,5,4,0.5,"equal",1,"MLE"
0.21354346193719,0.177854081255759,0.215973056041379,5,4,0.5,"equal",2,"MLE"
0.0443773857163073,0.0352689846826587,0.172753263523862,5,4,0.5,"equal",3,"MLE"
0.174629753620654,0.132953073499056,0.20514941060946,5,4,0.5,"equal",4,"MLE"
0.10773166088016,0.0859228227018241,0.182483425417677,5,4,0.5,"equal",5,"MLE"
0.109415069685236,0.0840464561854102,0.183929384968237,5,4,0.5,"equal",6,"MLE"
0.0872565111905984,0.0696487583930459,0.178975603022557,5,4,0.5,"equal",7,"MLE"
0.102562696871277,0.0777568944442589,0.183192925631229,5,4,0.5,"equal",8,"MLE"
0.203782537943259,0.159742101637813,0.210306399664069,5,4,0.5,"equal",9,"MLE"
0.270699271277616,0.214751728014721,0.247253601533797,5,4,0.5,"equal",10,"MLE"
0.107779088478436,0.0863033593177431,0.194075005093068,5,4,0.5,"strong",1,"MLE"
0.135695226141848,0.104710125223994,0.20115979045299,5,4,0.5,"strong",2,"MLE"
0.110540150940104,0.0868976152154734,0.196307927677264,5,4,0.5,"strong",3,"MLE"
0.240910576144048,0.201895020630063,0.244123533958806,5,4,0.5,"strong",4,"MLE"
0.140355043867618,0.10950402485671,0.203746197040426,5,4,0.5,"strong",5,"MLE"
0.0800390369275165,0.0678210837614706,0.19208984301041,5,4,0.5,"strong",6,"MLE"
0.153989432188516,0.118218683620492,0.207328937476809,5,4,0.5,"strong",7,"MLE"
0.106519745976279,0.0826689831402882,0.193572173129006,5,4,0.5,"strong",8,"MLE"
0.0835334017879047,0.0655584741386331,0.194292264381704,5,4,0.5,"strong",9,"MLE"
0.152244660712532,0.124096040311539,0.210642004979354,5,4,0.5,"strong",10,"MLE"
0.234102712052466,0.192641388379134,0.276730459303735,5,4,0.5,"noise",1,"MLE"
0.145048343890787,0.121376986601276,0.24261796272845,5,4,0.5,"noise",2,"MLE"
0.202688020532255,0.179838183113,0.264627995367577,5,4,0.5,"noise",3,"MLE"
0.104538604642564,0.083408117789159,0.235020089378736,5,4,0.5,"noise",4,"MLE"
0.0900762237004136,0.075371713151311,0.230412524017702,5,4,0.5,"noise",5,"MLE"
0.21242826797767,0.171879289026869,0.268067606063168,5,4,0.5,"noise",6,"MLE"
0.183873269213531,0.147156007345102,0.255303140951132,5,4,0.5,"noise",7,"MLE"
0.281234443232791,0.23623309092229,0.298989263938209,5,4,0.5,"noise",8,"MLE"
0.168547803712187,0.138257025138672,0.249799455432619,5,4,0.5,"noise",9,"MLE"
0.169127386161509,0.145410413537776,0.250794928027181,5,4,0.5,"noise",10,"MLE"
0.101350032079495,0.0841924126567083,0.24246155557212,5,4,0.5,"halfnoise",1,"MLE"
0.145613094186499,0.119905123356618,0.253087125809402,5,4,0.5,"halfnoise",2,"MLE"
0.155745115414324,0.127341603939095,0.261427792132867,5,4,0.5,"halfnoise",3,"MLE"
0.128560414320397,0.10657295765571,0.250381394627489,5,4,0.5,"halfnoise",4,"MLE"
0.0921855340932345,0.0737556567776357,0.244446237967421,5,4,0.5,"halfnoise",5,"MLE"
0.226626586285545,0.185444363661553,0.289968831008213,5,4,0.5,"halfnoise",6,"MLE"
0.141161948564454,0.117821384222125,0.255441205569129,5,4,0.5,"halfnoise",7,"MLE"
0.181474316666185,0.152169358903942,0.265617600330543,5,4,0.5,"halfnoise",8,"MLE"
0.228073073102958,0.192918125784927,0.283815162764857,5,4,0.5,"halfnoise",9,"MLE"
0.139995805305005,0.116780903603926,0.255652283000677,5,4,0.5,"halfnoise",10,"MLE"
0.209590293161227,0.16119164800622,0.221750812782297,5,8,0,"equal",1,"MLE"
0.142757675550915,0.110550639627456,0.203559539737882,5,8,0,"equal",2,"MLE"
0.146404972149209,0.120100708379032,0.20230932964886,5,8,0,"equal",3,"MLE"
0.139063873809283,0.108702234163785,0.200348751860202,5,8,0,"equal",4,"MLE"
0.14727322953999,0.116631576060777,0.206252801079837,5,8,0,"equal",5,"MLE"
0.19893811328999,0.153178526020846,0.220674733181122,5,8,0,"equal",6,"MLE"
0.185110237621186,0.142063839040729,0.216545254691522,5,8,0,"equal",7,"MLE"
0.192221198855466,0.147986545826775,0.219147983492985,5,8,0,"equal",8,"MLE"
0.205892406869444,0.159526441575837,0.218714817428793,5,8,0,"equal",9,"MLE"
0.123602064637977,0.094110939755691,0.197350897997802,5,8,0,"equal",10,"MLE"
0.155319348531448,0.123568156747072,0.223771597234509,5,8,0,"strong",1,"MLE"
0.0958518067972733,0.0772649143980269,0.207514538209999,5,8,0,"strong",2,"MLE"
0.113403926751895,0.0922783185927148,0.211527449685145,5,8,0,"strong",3,"MLE"
0.148418445758018,0.122852722357074,0.221790290587722,5,8,0,"strong",4,"MLE"
0.201363628547627,0.166403486125498,0.23848372999579,5,8,0,"strong",5,"MLE"
0.106013833878837,0.0857801645565601,0.205206705761597,5,8,0,"strong",6,"MLE"
0.136187255455132,0.108893010077645,0.215931355015027,5,8,0,"strong",7,"MLE"
0.208106961771448,0.165722737221016,0.243005609230485,5,8,0,"strong",8,"MLE"
0.13464101493897,0.109514185433787,0.213308387768099,5,8,0,"strong",9,"MLE"
0.101723142693779,0.0802913780143564,0.210628484218756,5,8,0,"strong",10,"MLE"
0.12406500777245,0.100071368663894,0.23438569813446,5,8,0,"noise",1,"MLE"
0.199483064008832,0.164216933665044,0.257988248098465,5,8,0,"noise",2,"MLE"
0.124423828702881,0.0991942837647824,0.235399763470154,5,8,0,"noise",3,"MLE"
0.208837695045344,0.171248158315316,0.265503287224918,5,8,0,"noise",4,"MLE"
0.132954087200663,0.107860434548598,0.234368366182977,5,8,0,"noise",5,"MLE"
0.167827988217181,0.140077098645741,0.247313707808943,5,8,0,"noise",6,"MLE"
0.147736933712304,0.119375576606765,0.241567281307061,5,8,0,"noise",7,"MLE"
0.186923364334286,0.156333396865895,0.254606121358847,5,8,0,"noise",8,"MLE"
0.179170297038392,0.143254316324905,0.251944460497706,5,8,0,"noise",9,"MLE"
0.129339281474914,0.104957378086026,0.236522220457654,5,8,0,"noise",10,"MLE"
0.123886119058259,0.104100788496293,0.247867496012389,5,8,0,"halfnoise",1,"MLE"
0.197070164695017,0.167340316634056,0.270349651298856,5,8,0,"halfnoise",2,"MLE"
0.156852821104986,0.126088373638505,0.255738136832775,5,8,0,"halfnoise",3,"MLE"
0.259837638439333,0.225639413204814,0.300416929326875,5,8,0,"halfnoise",4,"MLE"
0.130288312594813,0.108461177885787,0.247391876947098,5,8,0,"halfnoise",5,"MLE"
0.180714094475932,0.145722549708522,0.264236582221367,5,8,0,"halfnoise",6,"MLE"
0.105851397648793,0.0849474903575037,0.240001122358894,5,8,0,"halfnoise",7,"MLE"
0.182582547278999,0.149183904244813,0.265855891867805,5,8,0,"halfnoise",8,"MLE"
0.151034939076469,0.125692959645473,0.254897709514993,5,8,0,"halfnoise",9,"MLE"
0.231640809504552,0.202365445090801,0.289999782170169,5,8,0,"halfnoise",10,"MLE"
0.144546110883924,0.100155045731717,0.135824505022086,5,8,0.5,"equal",1,"MLE"
0.159860544362978,0.104266744120721,0.142010605591295,5,8,0.5,"equal",2,"MLE"
0.196395993137753,0.129222139393204,0.152178143818925,5,8,0.5,"equal",3,"MLE"
0.091744245588373,0.06470571110511,0.124132616617192,5,8,0.5,"equal",4,"MLE"
0.151572283521648,0.101230016762878,0.138766982902987,5,8,0.5,"equal",5,"MLE"
0.180029261717005,0.121495092964762,0.152853248668236,5,8,0.5,"equal",6,"MLE"
0.130872639431161,0.0873900881161497,0.132017888950566,5,8,0.5,"equal",7,"MLE"
0.199594049494354,0.130217168602503,0.155543738885808,5,8,0.5,"equal",8,"MLE"
0.176417334821697,0.114120694232519,0.147244562825531,5,8,0.5,"equal",9,"MLE"
0.135837298393463,0.0894168013047308,0.130684764495687,5,8,0.5,"equal",10,"MLE"
0.199926135996473,0.156431703691603,0.199498064057111,5,8,0.5,"strong",1,"MLE"
0.266848994816522,0.201453395733489,0.228808808970039,5,8,0.5,"strong",2,"MLE"
0.109957496058376,0.0858491097392643,0.16950424817796,5,8,0.5,"strong",3,"MLE"
0.142040022649079,0.108457111542548,0.175403005117237,5,8,0.5,"strong",4,"MLE"
0.101016148934594,0.0752027486607947,0.165385368525762,5,8,0.5,"strong",5,"MLE"
0.201204152886922,0.155231508000772,0.199637604534577,5,8,0.5,"strong",6,"MLE"
0.100352391188896,0.0724825700318004,0.169988114959554,5,8,0.5,"strong",7,"MLE"
0.160408240891759,0.117476568709536,0.186334794801743,5,8,0.5,"strong",8,"MLE"
0.208960833821397,0.154704432047045,0.207732551525366,5,8,0.5,"strong",9,"MLE"
0.199307525894922,0.14790635136864,0.196432764027872,5,8,0.5,"strong",10,"MLE"
0.230209708082286,0.175738613430786,0.224519139312534,5,8,0.5,"noise",1,"MLE"
0.170702126664782,0.133318133244103,0.200118452456042,5,8,0.5,"noise",2,"MLE"
0.077380642310453,0.0588701761478299,0.177673650617314,5,8,0.5,"noise",3,"MLE"
0.180418089116139,0.136418909267098,0.205839985956982,5,8,0.5,"noise",4,"MLE"
0.152145072818908,0.114094102307145,0.19463765585044,5,8,0.5,"noise",5,"MLE"
0.128407799487797,0.0955810500939236,0.187917889526868,5,8,0.5,"noise",6,"MLE"
0.117971444613287,0.094168053036311,0.18491295675171,5,8,0.5,"noise",7,"MLE"
0.123274955368688,0.0984611221285025,0.186727179567738,5,8,0.5,"noise",8,"MLE"
0.117354953676857,0.0933887581278624,0.183444260251415,5,8,0.5,"noise",9,"MLE"
0.172079118656901,0.140302098920713,0.199851932643477,5,8,0.5,"noise",10,"MLE"
0.14482875701098,0.115643077489405,0.232185029014001,5,8,0.5,"halfnoise",1,"MLE"
0.166995069942066,0.133300701129604,0.235342392112365,5,8,0.5,"halfnoise",2,"MLE"
0.199784588598987,0.164915613430836,0.249910681800855,5,8,0.5,"halfnoise",3,"MLE"
0.144864809692546,0.114955952998757,0.231589717620983,5,8,0.5,"halfnoise",4,"MLE"
0.0986004627498529,0.0775663065532866,0.218479814574534,5,8,0.5,"halfnoise",5,"MLE"
0.143159660520842,0.118820200931182,0.233098631026058,5,8,0.5,"halfnoise",6,"MLE"
0.0870110000818874,0.0686136293938031,0.218442509794641,5,8,0.5,"halfnoise",7,"MLE"
0.233826230353127,0.19252961567594,0.269745822747491,5,8,0.5,"halfnoise",8,"MLE"
0.149212498905541,0.118148201311021,0.231317309219613,5,8,0.5,"halfnoise",9,"MLE"
0.151610192941188,0.122350429113609,0.230904521696159,5,8,0.5,"halfnoise",10,"MLE"
0.120659757879182,0.0917751538685146,0.175423932449039,5,12,0,"equal",1,"MLE"
0.200745804963233,0.152813799505599,0.204443255888383,5,12,0,"equal",2,"MLE"
0.162624014461153,0.122081306070001,0.186927290769269,5,12,0,"equal",3,"MLE"
0.18805552073089,0.13999421463101,0.198748351782138,5,12,0,"equal",4,"MLE"
