"rMPSE","MAPE","Brier","EPV","P","rho","beta_pattern","sim"
0.174196404932275,0.136636002242493,0.1986766132,5,4,0.5,"equal",10
0.16685645001563,0.134079779182313,0.2137782656,5,4,0.5,"strong",1
0.259996249924348,0.212049720305595,0.2499207028,5,4,0.5,"strong",2
0.134923367649939,0.107563958570855,0.2071902172,5,4,0.5,"strong",3
0.170371039426809,0.140556897544901,0.2142505404,5,4,0.5,"strong",4
0.195883638894238,0.159719175735834,0.2216584528,5,4,0.5,"strong",5
0.160273442134153,0.133187526626437,0.2078758156,5,4,0.5,"strong",6
0.183761569043751,0.14671601451833,0.2183140232,5,4,0.5,"strong",7
0.136620024578657,0.109068013856016,0.2051123852,5,4,0.5,"strong",8
0.241425494357097,0.208281487150939,0.2399727292,5,4,0.5,"strong",9
0.195849602020298,0.161533838284138,0.2237532396,5,4,0.5,"strong",10
0.192379396890897,0.163421091909772,0.2570906724,5,4,0.5,"noise",1
0.171371932569181,0.134933893676719,0.2509721444,5,4,0.5,"noise",2
0.209860597694669,0.168680591413294,0.2658544884,5,4,0.5,"noise",3
0.172344457126691,0.141089874259926,0.252452856,5,4,0.5,"noise",4
0.210239671947172,0.176251301043948,0.2606762092,5,4,0.5,"noise",5
0.189424531856862,0.160323565878378,0.256970008,5,4,0.5,"noise",6
0.161086301424867,0.128699857985292,0.249857542,5,4,0.5,"noise",7
0.254709207034748,0.197736106521039,0.2851141456,5,4,0.5,"noise",8
0.181672783173494,0.153061220466134,0.2586311792,5,4,0.5,"noise",9
0.242941805092021,0.200004145136939,0.2830898724,5,4,0.5,"noise",10
0.178791703156369,0.146720665599532,0.271202846,5,4,0.5,"halfnoise",1
0.265913325417743,0.209944138417451,0.3072603036,5,4,0.5,"halfnoise",2
0.252759946372824,0.210303096204957,0.2997264008,5,4,0.5,"halfnoise",3
0.158452498785167,0.132615479610205,0.2592304676,5,4,0.5,"halfnoise",4
0.194549452921043,0.156438740404145,0.2711687072,5,4,0.5,"halfnoise",5
0.264718839327084,0.23320231725885,0.3025842536,5,4,0.5,"halfnoise",6
0.2270861034248,0.195249049812945,0.2862402988,5,4,0.5,"halfnoise",7
