"AUC","Brier","model","EPV","P","rho","beta_pattern","sim"
0.600371569670173,0.244446237967421,"MLE",5,4,0.5,"halfnoise",5
0.512107915501431,0.289968831008213,"MLE",5,4,0.5,"halfnoise",6
0.610318060355863,0.255441205569129,"MLE",5,4,0.5,"halfnoise",7
0.602260320148679,0.265617600330543,"MLE",5,4,0.5,"halfnoise",8
0.575707358642294,0.283815162764857,"MLE",5,4,0.5,"halfnoise",9
0.611111417795492,0.255652283000677,"MLE",5,4,0.5,"halfnoise",10
0.724003654264703,0.221750812782297,"MLE",5,8,0,"equal",1
0.766209170070844,0.203559539737882,"MLE",5,8,0,"equal",2
0.78502396173802,0.20230932964886,"MLE",5,8,0,"equal",3
0.774087835394518,0.200348751860202,"MLE",5,8,0,"equal",4
0.773220358428491,0.206252801079837,"MLE",5,8,0,"equal",5
0.725341995897341,0.220674733181122,"MLE",5,8,0,"equal",6
0.731965657981793,0.216545254691522,"MLE",5,8,0,"equal",7
0.732419405579846,0.219147983492985,"MLE",5,8,0,"equal",8
0.75062828251313,0.218714817428793,"MLE",5,8,0,"equal",9
0.778255472036065,0.197350897997802,"MLE",5,8,0,"equal",10
0.724741658013567,0.223771597234509,"MLE",5,8,0,"strong",1
0.749193430478093,0.207514538209999,"MLE",5,8,0,"strong",2
0.74806012977645,0.211527449685145,"MLE",5,8,0,"strong",3
0.734945974246638,0.221790290587722,"MLE",5,8,0,"strong",4
0.725951337671589,0.23848372999579,"MLE",5,8,0,"strong",5
0.754838654951173,0.205206705761597,"MLE",5,8,0,"strong",6
0.724109642160028,0.215931355015027,"MLE",5,8,0,"strong",7
0.684679404679405,0.243005609230485,"MLE",5,8,0,"strong",8
0.749604736703343,0.213308387768099,"MLE",5,8,0,"strong",9
0.728335214184192,0.210628484218756,"MLE",5,8,0,"strong",10
0.642002848011392,0.23438569813446,"MLE",5,8,0,"noise",1
0.638252265450852,0.257988248098465,"MLE",5,8,0,"noise",2
0.648939680457124,0.235399763470154,"MLE",5,8,0,"noise",3
0.627271681426266,0.265503287224918,"MLE",5,8,0,"noise",4
0.673899893742623,0.234368366182977,"MLE",5,8,0,"noise",5
0.668864999139969,0.247313707808943,"MLE",5,8,0,"noise",6
0.656283460535369,0.241567281307061,"MLE",5,8,0,"noise",7
0.655451061592459,0.254606121358847,"MLE",5,8,0,"noise",8
0.628587234893958,0.251944460497706,"MLE",5,8,0,"noise",9
0.666294146651766,0.236522220457654,"MLE",5,8,0,"noise",10
0.634079849076383,0.247867496012389,"MLE",5,8,0,"halfnoise",1
0.615646560191584,0.270349651298856,"MLE",5,8,0,"halfnoise",2
0.582947673200645,0.255738136832775,"MLE",5,8,0,"halfnoise",3
0.596960086254577,0.300416929326875,"MLE",5,8,0,"halfnoise",4
0.640185862429738,0.247391876947098,"MLE",5,8,0,"halfnoise",5
0.513672038750943,0.264236582221367,"MLE",5,8,0,"halfnoise",6
0.623356304458919,0.240001122358894,"MLE",5,8,0,"halfnoise",7
0.589756423910598,0.265855891867805,"MLE",5,8,0,"halfnoise",8
0.625756561936799,0.254897709514993,"MLE",5,8,0,"halfnoise",9
0.61335257291082,0.289999782170169,"MLE",5,8,0,"halfnoise",10
0.889254196594621,0.135824505022086,"MLE",5,8,0.5,"equal",1
0.88334007627222,0.142010605591295,"MLE",5,8,0.5,"equal",2
0.884675027373266,0.152178143818925,"MLE",5,8,0.5,"equal",3
0.907065058890791,0.124132616617192,"MLE",5,8,0.5,"equal",4
0.886286385239474,0.138766982902987,"MLE",5,8,0.5,"equal",5
0.891037388779073,0.152853248668236,"MLE",5,8,0.5,"equal",6
0.904267028645218,0.132017888950566,"MLE",5,8,0.5,"equal",7
0.877420041548827,0.155543738885808,"MLE",5,8,0.5,"equal",8
0.879299016087699,0.147244562825531,"MLE",5,8,0.5,"equal",9
0.897096467411685,0.130684764495687,"MLE",5,8,0.5,"equal",10
0.820935443741775,0.199498064057111,"MLE",5,8,0.5,"strong",1
0.775644481225236,0.228808808970039,"MLE",5,8,0.5,"strong",2
0.840743485552766,0.16950424817796,"MLE",5,8,0.5,"strong",3
0.833236612575043,0.175403005117237,"MLE",5,8,0.5,"strong",4
0.836034579634214,0.165385368525762,"MLE",5,8,0.5,"strong",5
0.818241018241018,0.199637604534577,"MLE",5,8,0.5,"strong",6
0.830860425863661,0.169988114959554,"MLE",5,8,0.5,"strong",7
0.802083088730187,0.186334794801743,"MLE",5,8,0.5,"strong",8
0.779670308131093,0.207732551525366,"MLE",5,8,0.5,"strong",9
0.807222103800319,0.196432764027872,"MLE",5,8,0.5,"strong",10
0.720926850183717,0.224519139312534,"MLE",5,8,0.5,"noise",1
0.793981014784946,0.200118452456042,"MLE",5,8,0.5,"noise",2
0.81434413737655,0.177673650617314,"MLE",5,8,0.5,"noise",3
0.768614061821968,0.205839985956982,"MLE",5,8,0.5,"noise",4
0.786020985610375,0.19463765585044,"MLE",5,8,0.5,"noise",5
0.792983802744447,0.187917889526868,"MLE",5,8,0.5,"noise",6
0.81029766589861,0.18491295675171,"MLE",5,8,0.5,"noise",7
0.792377632377632,0.186727179567738,"MLE",5,8,0.5,"noise",8
0.807894533890061,0.183444260251415,"MLE",5,8,0.5,"noise",9
0.767738401354858,0.199851932643477,"MLE",5,8,0.5,"noise",10
0.689262603993173,0.232185029014001,"MLE",5,8,0.5,"halfnoise",1
